"rules","support","confidence","coverage","lift","count"
"24","{RefBks,GeogBks,ItalArt} => {ItalAtlas}",0.0115,0.851851851851852,0.0135,23.023023023023,23
"835","{RefBks,ArtBks,GeogBks,ItalArt} => {ItalAtlas}",0.0115,0.851851851851852,0.0135,23.023023023023,23
"850","{ChildBks,RefBks,GeogBks,ItalArt} => {ItalAtlas}",0.01,0.833333333333333,0.012,22.5225225225225,20
"1525","{ChildBks,RefBks,ArtBks,GeogBks,ItalArt} => {ItalAtlas}",0.01,0.833333333333333,0.012,22.5225225225225,20
"20","{RefBks,ArtBks,ItalArt} => {ItalAtlas}",0.0165,0.825,0.02,22.2972972972973,33
"28","{ChildBks,RefBks,ItalArt} => {ItalAtlas}",0.0145,0.805555555555556,0.018,21.7717717717718,29
"840","{ChildBks,RefBks,ArtBks,ItalArt} => {ItalAtlas}",0.0145,0.805555555555556,0.018,21.7717717717718,29
"32","{CookBks,RefBks,ItalArt} => {ItalAtlas}",0.013,0.787878787878788,0.0165,21.2940212940213,26
"845","{CookBks,RefBks,ArtBks,ItalArt} => {ItalAtlas}",0.013,0.787878787878788,0.0165,21.2940212940213,26
"4","{RefBks,ItalCook,ItalArt} => {ItalAtlas}",0.0125,0.78125,0.016,21.1148648648649,25
"805","{RefBks,ArtBks,ItalCook,ItalArt} => {ItalAtlas}",0.0125,0.78125,0.016,21.1148648648649,25
"815","{CookBks,RefBks,ItalCook,ItalArt} => {ItalAtlas}",0.0125,0.78125,0.016,21.1148648648649,25
"1507","{CookBks,RefBks,ArtBks,ItalCook,ItalArt} => {ItalAtlas}",0.0125,0.78125,0.016,21.1148648648649,25
"855","{ChildBks,CookBks,RefBks,ItalArt} => {ItalAtlas}",0.0115,0.766666666666667,0.015,20.7207207207207,23
"1531","{ChildBks,CookBks,RefBks,ArtBks,ItalArt} => {ItalAtlas}",0.0115,0.766666666666667,0.015,20.7207207207207,23
"35","{ArtBks,GeogBks,ItalAtlas} => {ItalArt}",0.0115,1,0.0115,20.6185567010309,23
"834","{RefBks,ArtBks,GeogBks,ItalAtlas} => {ItalArt}",0.0115,1,0.0115,20.6185567010309,23
"859","{ChildBks,ArtBks,GeogBks,ItalAtlas} => {ItalArt}",0.01,1,0.01,20.6185567010309,20
"1524","{ChildBks,RefBks,ArtBks,GeogBks,ItalAtlas} => {ItalArt}",0.01,1,0.01,20.6185567010309,20
"810","{ChildBks,RefBks,ItalCook,ItalArt} => {ItalAtlas}",0.011,0.758620689655172,0.0145,20.5032618825722,22
"1501","{ChildBks,RefBks,ArtBks,ItalCook,ItalArt} => {ItalAtlas}",0.011,0.758620689655172,0.0145,20.5032618825722,22
"1513","{ChildBks,CookBks,RefBks,ItalCook,ItalArt} => {ItalAtlas}",0.011,0.758620689655172,0.0145,20.5032618825722,22
"1760","{ChildBks,CookBks,RefBks,ArtBks,ItalCook,ItalArt} => {ItalAtlas}",0.011,0.758620689655172,0.0145,20.5032618825722,22
"7","{ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.0125,0.961538461538462,0.013,19.8255352894528,25
"804","{RefBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.0125,0.961538461538462,0.013,19.8255352894528,25
"824","{CookBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.0125,0.961538461538462,0.013,19.8255352894528,25
"1506","{CookBks,RefBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.0125,0.961538461538462,0.013,19.8255352894528,25
"819","{ChildBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.011,0.956521739130435,0.0115,19.7220977140296,22
"1500","{ChildBks,RefBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.011,0.956521739130435,0.0115,19.7220977140296,22
"1518","{ChildBks,CookBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.011,0.956521739130435,0.0115,19.7220977140296,22
"1759","{ChildBks,CookBks,RefBks,ArtBks,ItalCook,ItalAtlas} => {ItalArt}",0.011,0.956521739130435,0.0115,19.7220977140296,22
"39","{ChildBks,ArtBks,ItalAtlas} => {ItalArt}",0.0145,0.935483870967742,0.0155,19.2883272364483,29
"839","{ChildBks,RefBks,ArtBks,ItalAtlas} => {ItalArt}",0.0145,0.935483870967742,0.0155,19.2883272364483,29
"43","{CookBks,ArtBks,ItalAtlas} => {ItalArt}",0.013,0.928571428571429,0.014,19.1458026509573,26
"844","{CookBks,RefBks,ArtBks,ItalAtlas} => {ItalArt}",0.013,0.928571428571429,0.014,19.1458026509573,26
"864","{ChildBks,CookBks,ArtBks,ItalAtlas} => {ItalArt}",0.0115,0.92,0.0125,18.9690721649485,23
"1530","{ChildBks,CookBks,RefBks,ArtBks,ItalAtlas} => {ItalArt}",0.0115,0.92,0.0125,18.9690721649485,23
"19","{RefBks,ArtBks,ItalAtlas} => {ItalArt}",0.0165,0.916666666666667,0.018,18.9003436426117,33
"60","{RefBks,ArtBks,ItalCook} => {ItalAtlas}",0.013,0.553191489361702,0.0235,14.9511213341001,26
"885","{CookBks,RefBks,ArtBks,ItalCook} => {ItalAtlas}",0.013,0.553191489361702,0.0235,14.9511213341001,26
"960","{RefBks,ArtBks,GeogBks,ItalCook} => {ItalArt}",0.011,0.709677419354839,0.0155,14.632524110409,22
"1567","{CookBks,RefBks,ArtBks,GeogBks,ItalCook} => {ItalArt}",0.011,0.709677419354839,0.0155,14.632524110409,22
